551771076-X,455736355-5,Bring It On: Fight to the Finish,Comedy,1997
407638923-9,063319618-5,China Syndrome. The,Drama|Thriller,2001
089448330-7,648386515-5,Single Shot. A,Crime|Drama|Film-Noir|Thriller,2003
702818254-1,944057481-X,Windstruck (Nae yeojachingureul sogae habnida),Comedy|Crime|Drama,2003
826919040-3,782056354-0,Storage,Thriller,2011
120692369-5,980316710-3,How to Stuff a Wild Bikini,Comedy,2002
988418632-4,889688428-4,Lesbian Vampire Killers,Action|Comedy|Horror,1997
649927293-0,136486711-7,Rise and Fall of Legs Diamond. The,Crime,1968
564222369-0,915542866-5,One Foot in Heaven,Drama,2004
053139724-6,134695990-0,Rapt,Drama,2008
969731512-4,327216921-0,Wishful Drinking,Documentary,2013
902035035-8,853318133-7,Perfect Getaway. A,Horror|Thriller,1987
781298059-6,077221534-0,Money for Nothing,Comedy|Crime,2011
862895833-9,194606114-X,Hotel,Drama,1999
619259164-4,236398388-2,Coming Home (Gui lai),Drama,2003
474966207-0,387872410-1,Inheritance. The (Karami-ai),Drama,1997
811760152-4,104997045-4,Andy Hardy's Double Life,Comedy|Romance,2006
054541817-8,210183802-8,M*A*S*H (a.k.a. MASH),Comedy|Drama|War,2009
085848201-0,120051224-3,Killer Condom (Kondom des Grauens),Comedy|Horror|Romance|Sci-Fi,2011
060194492-5,712113788-7,Luck by Chance,Drama,2011
228377757-7,771052754-X,Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima),Action|Adventure|Drama,1998
939938660-0,156477324-8,Incendiary,Drama|Mystery|Romance|Thriller,2010
875105022-6,070133201-8,Lord of Illusions,Horror,2012
447154752-6,111211163-8,Bad Seed. The,Drama|Thriller,1998
610062930-5,041115394-3,Home Sweet Home,Comedy,1997
248563546-3,730905985-9,Domino,Crime|Drama|Thriller,1991
337292923-3,107972288-2,My Father and My Son (Babam ve oglum),Drama,1986
640641822-0,006537538-6,Bajo la Sal (Under the Salt),Mystery|Thriller,2007
418076106-8,751094653-0,Far from Home,Thriller,2012
848907626-X,948213181-9,Lion in Winter. The,Drama,2009
511110123-3,384664171-5,Turbo: A Power Rangers Movie,Action|Adventure|Children,1996
705402367-6,946103353-2,Devil's in the Details. The,Thriller,1997
659255027-9,220530316-3,Dark Shadows,Comedy|Horror|IMAX,2002
246698948-4,536903740-X,George & A.J.,Animation|Children|Comedy,2007
258984915-X,187017522-0,Pope's Toilet. The (El bano del Papa),Drama,1999
214650014-X,730012805-X,WarGames,Drama|Sci-Fi|Thriller,2010
374100995-4,082274273-X,How to Die in Oregon,Documentary|Drama,1995
857642308-1,910021899-5,Radio Rebel,Drama,2006
271514232-3,677084242-4,Martin Lawrence: You So Crazy,Comedy|Documentary,2009
405624550-9,671028294-5,Chef in Love. A (Shekvarebuli kulinaris ataserti retsepti),Comedy|Romance,2001
350179708-7,660416436-5,Big White. The,Comedy|Crime|Drama,2010
136725511-2,131397650-4,Dead Man and Being Happy. The (El muerto y ser feliz),Drama,2011
064328567-9,644758988-7,Liverpool,Drama,1985
134884390-X,381238566-X,No Regrets for Our Youth (Waga seishun ni kuinashi),Drama,1998
094274128-5,535244527-5,Young at Heart,Drama|Musical|Romance,2008
566402245-0,083764680-4,Hunchback. The,Drama,2012
275300474-9,674463271-X,Soft Toilet Seats,Comedy,2009
225406803-2,949451182-4,Julia's Eyes (Ojos de Julia. Los),Horror|Thriller,1997
090587916-3,199722933-1,Outrageous Class (Hababam sinifi),Comedy|Drama,2005
719586744-7,645857729-X,Lives of a Bengal Lancer. The,Adventure|Drama,1999
485050859-6,477600081-4,Big Daddy,Comedy,2009
184122459-6,634759634-2,Kisses,Drama,1995
278464552-5,302747045-0,La vérité si je mens !,Comedy,1999
853523219-2,931824306-5,Boogie-Doodle,Animation,2011
524006764-3,362912753-3,Jew in the Lotus. The,Documentary,2011
429460860-9,051196091-3,Web of Death. The,Action|Adventure|Fantasy|Horror,1995
002442175-8,657573433-2,Born in East L.A.,Comedy,2003
440945205-3,742490555-4,Bootmen,Comedy|Drama,2005
804085892-5,989482947-3,Princess Mononoke (Mononoke-hime),Action|Adventure|Animation|Drama|Fantasy,1992
472156054-0,669857642-5,I'm Not Rappaport,Comedy,1989
417851035-5,534834121-5,Nanny. The,Drama|Thriller,1995
254683565-3,404347131-9,Teenage,Documentary,2006
376624172-9,174978426-2,We Need to Talk About Kevin,Drama|Thriller,1995
862911887-3,311839767-5,Walk on the Moon. A,Drama|Romance,1992
217965485-5,459426103-5,Countess from Hong Kong. A,Comedy,2004
415089820-0,700422138-5,Ben-Hur,Action|Adventure|Drama,1999
018201930-6,136247055-4,Centenarian Who Climbed Out the Window and Vanished. The (Hundraåringen som klev ut genom fönstret och försvann),Adventure|Comedy|Drama,1999
152533434-4,125374455-6,Hum Dil De Chuke Sanam,Drama|Romance,2013
806073897-6,475308464-7,Reggie Watts: Why Shit So Crazy?,Comedy,2011
970074924-X,174762502-7,Miracle on 34th Street,Drama,2000
831536448-0,608879424-0,State Fair,Comedy|Drama|Romance,1998
075945496-5,749531561-X,Beyond the Clouds (Al di là delle nuvole),Drama|Romance,2009
460349650-8,599776594-6,Hipsters (Stilyagi),Drama|Musical|Romance,1997
237992174-1,390940940-7,Microphone,Comedy|Drama|Musical,1995
252887319-0,601236636-1,National Theatre Live: Frankenstein,Drama|Fantasy,2009
474888363-4,239055500-4,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),Action|Comedy,2008
583137667-2,581012817-3,Cry Wolf,Crime|Drama|Mystery|Thriller,1992
068930947-3,787059006-1,Niagara,Drama|Thriller,1998
294262316-0,035078687-9,Boyz N the Hood,Crime|Drama,2008
233558095-7,521064525-8,Last Mistress. The (vieille maîtresse. Une),Drama,2000
061907794-8,168110128-9,Different from the Others (Anders als die Andern),Drama,2007
778446737-0,328600036-1,Secret Garden. The,Children|Drama,2011
106209473-5,326453055-4,Death Before Dishonor,Action|Drama,1999
454265563-6,158697768-7,Playboys. The,Drama|Romance,2005
706545319-7,044148552-9,Payback,Action|Thriller,2007
523850985-5,758323025-X,Flickering Lights (Blinkende lygter),Action|Comedy|Crime,2002
478819390-6,438873289-3,Girlfriend Experience. The,Drama,2003
047918123-3,468193780-0,Pola X,Drama|Romance,2008
068904806-8,442208493-3,Nora's Will (Cinco días sin Nora),Comedy|Drama,2010
054647574-4,386036897-4,Blood of the Vampire,Horror|Sci-Fi,2005
714014793-0,910802172-4,All Things Fair (Lust och fägring stor),Drama|Romance|War,2005
968917141-0,816564879-9,Fireworks Wednesday (Chaharshanbe-soori),Drama|Mystery|Romance,2009
881593814-1,843010724-X,Children in the Wind (Kaze no naka no kodomo),Drama,1986
049265855-2,199128851-4,Stooge. The,Comedy,2006
497020769-0,024661994-5,Law of the Lawless (Brigada),Crime,2010
932580807-2,219151310-7,Bunny Lake Is Missing,Mystery|Thriller,1996
724538993-4,155717541-1,Eden Is West (Eden à l'Ouest),Drama,2007
036243817-X,387393268-7,A Life in Dirty Movies,Documentary,1986
825152666-3,290196844-9,Magadheera,Action|Adventure|Fantasy|Romance,1986
085409510-1,332808819-9,The Indifferent Beauty,(no genres listed),1994
466013757-0,096140914-2,Mr. Moto Takes a Chance,Crime|Drama|Mystery,1999
380289600-9,748987733-4,Girl from Jones Beach. The,Comedy,1996
606939513-1,988727704-5,Joyful Noise,Comedy|Musical,2002
112846560-4,788727528-8,How I Live Now,Action|Drama|Thriller,2007
545426806-2,881393035-6,Putin's Kiss,Documentary,2010
950719516-5,496175512-5,Super Fuzz (a.k.a. Super Snooper) (Poliziotto superpiù),Action|Comedy|Sci-Fi,2012
966426581-0,489602969-0,Death Wish,Action|Crime|Drama,2007
662679579-1,121343842-X,Best Friends,Comedy|Drama|Romance,2013
164019554-8,846096794-8,Evergreen,Drama,1988
742224435-6,183521980-2,Everyone Says I Love You,Comedy|Musical|Romance,2010
936000395-6,270515425-6,Answer Man. The (a.k.a. Arlen Faber),Comedy|Romance,2003
093989759-8,191032890-1,Captain America,Action|Drama,2004
020600097-9,704620759-3,Bitter Feast,Comedy|Horror|Thriller,1999
452579024-5,916523068-X,Zapped!,Comedy|Sci-Fi,2003
154124194-0,803995399-5,Hum Tumhare Hain Sanam,Comedy|Drama|Romance,1993
429430253-4,156185478-6,Captain America,Action|Fantasy|Sci-Fi|Thriller|War,2005
959889155-0,521368326-6,And Along Come Tourists (Am Ende kommen Touristen),Drama,2007
453770148-X,945445187-1,Wild America,Adventure|Children,2002
471774692-9,144923143-8,Bone Man. The (Der Knochenmann),Crime|Thriller,2011
332509239-X,738796969-8,Jet Lag (Décalage horaire),Comedy|Romance,2004
114798264-3,562158603-4,Life's a Breeze,Comedy|Drama,2004
593340880-8,393475759-6,Bedtime Story,Comedy,2010
897255304-2,808837933-4,Anniversary Party. The,Drama,1997
140929834-5,120763319-4,Mamitas,Drama,2001
742411430-1,170075153-0,Devil Is a Woman. The,Comedy|Drama|Romance,1997
259455677-7,832964662-9,Stepdaughter. The,Horror|Thriller,2004
669693942-3,791097540-6,When Jews Were Funny,Documentary,2002
760508716-0,308748565-9,Bustin' Down the Door,Documentary,2009
685026873-2,198544249-3,World according to Ion B.. The (Lumea vazuta de Ion B),Documentary,1987
924363503-4,218331800-7,Have Dreams. Will Travel,Drama|Romance,2004
506505183-6,922655388-2,Big Trail. The,Adventure|Romance|Western,1989
207346665-6,979669633-9,Malaya,Adventure|Drama,2012
024097252-X,668677797-8,Starry Eyes,Horror,2002
650889845-0,683244565-2,Reign Over Me,Drama,2006
727659774-1,210069943-1,Gold Rush. The,Adventure|Comedy|Romance,2010
408604431-5,599539655-2,Loss of a Teardrop Diamond. The,Drama,2002
550719730-X,380998368-3,Third Wheel. The,Comedy|Romance,2009
943586907-6,924106170-7,Secret of the Grain. The (La graine et le mulet),Drama,1997
166345072-2,986819141-6,Jail Bait,Crime|Drama,2002
327336043-7,752137661-7,Passed Away,Comedy,1999
907956224-6,136041705-2,A.C.O.D.,Comedy,1992
808014874-0,639423550-4,Guest House Paradiso,Comedy|Thriller,2008
902163334-5,732662672-3,Route 666,Action|Horror|Thriller,2009
464111867-1,127013431-0,Flu,Action|Drama|Sci-Fi,1995
524039923-9,643590473-1,Täällä Pohjantähden alla II ,Drama|War,1989
392614672-9,659313707-3,Seducing Mr. Perfect,Romance,1986
898922164-1,295049219-3,Margin Call,Drama|Thriller,1996
725742023-8,990598792-4,Quadrille,Comedy|Romance,1999
098409005-3,944561449-6,Millennium Actress (Sennen joyû),Animation|Drama|Romance,1993
719743800-4,367865383-9,Paprika (Papurika),Animation|Mystery|Sci-Fi,2010
507664346-2,061876591-3,All Things Fair (Lust och fägring stor),Drama|Romance|War,1994
339555577-1,332665418-9,Box. The,Crime|Thriller,2006
521635536-7,261010820-6,Pont du Nord. Le,Comedy|Fantasy|Mystery,1995
775848524-3,886932053-7,Others. The,Drama|Horror|Mystery|Thriller,1995
382168884-X,651839527-3,Concepción Arenal. la visitadora de cárceles,Drama,2002
685665643-2,797119416-1,Hulk,Action|Adventure|Sci-Fi,1998
456521055-X,698639325-3,Pharaoh's Curse,Horror,2012
263686609-4,697701738-4,Valentino: The Last Emperor,Documentary,2009
145089746-0,617437934-5,Land of the Blind,Drama|Thriller,2000
622386502-3,986946756-3,Besotted,Drama,2008
834108944-0,921209212-8,Sinbad and the Eye of the Tiger,Adventure|Fantasy,2005
701201405-9,919727070-9,Don't Be Afraid of the Dark,Horror|Thriller,1986
572508708-5,546409380-X,All About Actresses (Le bal des actrices),Comedy|Drama,2000
838304809-2,633203149-2,Triangle (Tie saam gok),Action,2012
791145073-0,748756496-7,Lazybones,Action|Comedy|Drama|Romance|War,1995
142467222-8,924392823-6,Scum,Crime|Drama,2009
919006887-4,724860746-0,Children of a Lesser God,Drama,1987
353151346-X,566719979-3,Once Upon a Time in Shanghai,Crime,1986
005644088-X,510175452-8,Zachariah,Comedy|Musical|Western,1961
656045237-9,690608473-9,Othello (Tragedy of Othello: The Moor of Venice. The),Drama,2003
355229555-0,682040338-0,Coupe de Ville,Comedy|Drama,1995
025302882-5,554741882-X,Camp,Drama,1999
802937620-0,961726020-4,I'm a Cyborg. But That's OK (Saibogujiman kwenchana),Comedy|Drama|Romance|Sci-Fi,2012
889665299-5,506102500-8,Fan. The,Drama|Thriller,1999
337083161-9,183773015-6,Beginning of an Unknown Era (Nachalo nevedomogo veka),Drama,1996
291198490-0,780835170-9,Wicked Blood,Action|Drama|Thriller,1987
547788485-1,239882072-6,Brass Monkey,Comedy|Crime|Drama|Mystery,1994
360428578-X,520656977-1,Jodorowsky's Dune,Documentary|Sci-Fi,1986
162687611-8,506698171-3,Breed. The,Action|Adventure|Horror,2004
635110084-4,918037181-7,Think Fast. Mr. Moto,Crime|Drama|Mystery|Thriller,2012
451188270-3,388890583-4,Trade,Crime|Drama|Thriller,2012
503802200-6,332575211-X,Rollo and the Woods Sprite (Rölli ja metsänhenki),Children|Fantasy,2000
551850482-9,559883093-0,A Walk in the Woods,Adventure|Comedy|Drama,2009
835180637-4,589939224-X,Superman vs. The Elite,Action|Animation,1995
180874749-6,006528033-4,Nothing to Lose (a.k.a. Ten Benny),Drama,2007
800381926-1,477236920-1,Factotum,Drama,1994
185105772-2,456649137-4,Messengers 2: The Scarecrow,Horror|Mystery,1995
425115750-8,537069366-8,Cranes Are Flying. The (Letyat zhuravli),Drama|Romance|War,2000
571998039-3,367153102-9,We Were Soldiers,Action|Drama|War,1998
638441636-0,885649198-2,Love Actually,Comedy|Drama|Romance,1987
364595533-X,462260043-9,Cotton Mary,Drama,1995
540556339-0,840423299-7,Judy Berlin,Drama,1995
213841044-7,392809854-3,Tol'able David,Drama,2011
311476351-0,265490301-X,City Hall,Drama|Thriller,1995
766950040-9,156504669-2,Seven Invisible Men (Septyni nematomi zmones),Drama,2000
098537628-7,367243704-2,Forest of Bliss,Documentary,1992
262946243-9,736018196-8,Surrogates,Action|Sci-Fi|Thriller,1992
803113310-7,079607933-1,Captain America: The First Avenger,Action|Adventure|Sci-Fi|Thriller|War,1999
985738005-0,429856719-2,Showgirls,Drama,1981
074762019-9,170944727-3,Bread. My Sweet. The (a.k.a. Wedding for Bella. A),Drama|Romance,2012
298662841-9,409098372-X,Taxi,Action|Comedy,1985
268983559-2,898053378-0,Balseros (Cuban Rafters),Documentary,1991
065122059-9,198730053-X,Delphine 1. Yvan 0,Comedy,2000
973044205-3,405115477-7,Life Is a Long Quiet River (La vie est un long fleuve tranquille),Comedy,1999
964361038-1,014136407-6,Stroker Ace,Action|Comedy|Romance,2007
662622179-5,048025463-X,My Soul to Take,Horror|Thriller,2009
509498221-4,687154202-7,Gravity (Schwerkraft),Crime|Drama|Romance,1965
208845254-0,773738059-0,Big Trail. The,Adventure|Romance|Western,2002
449259154-0,642723635-0,Private Lessons,Comedy,2000
005285957-6,304161624-6,Goal! The Dream Begins (Goal!),Drama,2005
280734953-6,906048727-3,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo),Drama|War,2012
282514071-6,813649638-2,Infinity,Drama,1986
962197347-3,498975702-5,Sparkle,Drama|Musical,1992
804109422-8,341703364-0,6 Desires: DH Lawrence and Sardinia,Documentary,2012
530337370-3,031470925-8,Long Kiss Goodnight. The,Action|Drama|Thriller,2000
373551971-7,490083183-2,Land of the Lost,Action|Adventure|Comedy|Sci-Fi,2012
784953459-X,901828661-3,French Roast,Animation|Comedy,2010
228114653-7,672991562-5,On the Town,Comedy|Musical|Romance,2005
918451954-1,085921979-8,George & A.J.,Animation|Children|Comedy,2003
110791009-9,676456131-1,Big City Blues,Comedy|Drama,2003
436595065-7,959966351-9,Yu-Gi-Oh!,Animation,2004
532753299-2,331412414-7,Soft Toilet Seats,Comedy,2008
749640789-5,516657093-6,Castle of Sand. The (Suna no utsuwa),Crime|Mystery|Thriller,2002
092918267-7,787271071-4,Toward the Unknown,Drama|Romance|War,2005
308121480-7,352380063-3,Navy Seals,Action|Adventure|War,1987
744974805-3,953683666-1,Dragon Missile. The (Fei long zhan),Action,2003
979502669-0,090751711-0,Eila. Rampe and Likka,Comedy,2007
052291074-2,238845917-6,Protector (Protektor),Drama,2001
445954465-2,657579629-X,Beau Pere (a.k.a. Stepfather) (Beau-père),Drama,1990
746663488-5,215348620-3,Double Tide,Documentary,1986
417558883-3,256959576-4,8 Heads in a Duffel Bag,Comedy,1999
117762761-2,957232836-0,Texas,Drama|Romance|Western,1995
054614152-8,271827970-2,Toys in the Attic,Drama,2009
323991800-5,701277053-8,Sign of Leo. The (Signe du lion. Le),Drama,2012
770503676-2,104522795-1,Zizek!,Documentary,1995
304874289-1,438323413-5,Dennis the Menace Christmas. A,Comedy,2009
175698979-6,500993943-6,Who Is Killing the Great Chefs of Europe?,Comedy|Crime|Mystery,2005
163979872-2,661367255-6,Hail Caesar,Comedy,2012
684163595-7,580099029-8,Tempest,Comedy|Drama,1996
486894690-0,899589756-2,Death at a Funeral,Comedy,1989
795941718-0,555840009-9,Wuthering Heights,Drama,1996
817180026-2,330138143-X,Loose Change 9/11: An American Coup,Documentary,2009
541532288-4,156827637-0,His Name Was Jason: 30 Years of Friday the 13th,Documentary|Horror,1995
465329322-8,642918945-7,Mishima: A Life in Four Chapters,Drama,1997
292631375-6,294013164-3,House of the Devil. The,Horror|Thriller,2011
574698905-3,134148000-3,Labyrinth of Passion (Laberinto de Pasiones),Comedy,2007
824756140-9,764239462-4,Little Shop of Horrors. The,Comedy|Horror,1992
953384239-3,842901037-8,They Came to Cordura,Western,1994
833630492-4,881724758-8,Three Musketeers. The,Adventure|Comedy|Musical,1991
128698004-6,787210968-9,Milky Way. The,Comedy,2008
193521861-1,413252506-6,Decline of Western Civilization. The,Documentary|Musical,2011
770516940-1,676978564-1,Torments (El) (This Strange Passion),Drama|Romance,2009
810346174-1,187183269-1,Nightcap (Merci pour le chocolat),Crime|Thriller,1996
203701484-8,209779476-9,The Amazing Catfish,Comedy|Drama,2011
623439792-1,978131318-8,Free the Nipple,Comedy|Drama,1970
646192538-4,123276807-3,White Irish Drinkers,Drama,2010
834239969-9,553259875-4,Cool. Calm and Collected (Calmos),Comedy,1999
299504526-9,263846934-3,Warlock: The Armageddon,Horror,2003
980883832-4,655697389-0,Horse in the Gray Flannel Suit. The,Children|Comedy,2003
633587105-X,920261617-5,Trust the Man,Comedy|Drama|Romance,1998
383097205-9,212522072-5,Star Trek: The Motion Picture,Adventure|Sci-Fi,2009
479815521-7,771170938-2,Valachi Papers.The,Crime|Drama,2003
279964462-7,131591554-5,Stella Maris,Drama,2005
154571400-2,946944332-2,Highway 61,Comedy,2010
156376661-2,260420679-X,Same River Twice. The,Documentary,1986
201650716-0,210736414-1,Felony,Thriller,2012
838398016-7,239626005-7,Washington Square,Drama,1995
950655682-2,425422095-2,Primer,Drama|Sci-Fi,2011
671958030-2,749476558-1,Girlfriends. The (Le amiche),Drama|Romance,2006
133891103-1,623294220-5,Queen Bee,Drama,1984
352087294-3,807061258-4,Behind Enemy Lines: Colombia (Behind Enemy Lines 3: Ghost Watch),Action|Thriller|War,2010
416052328-5,433047899-4,Metal: A Headbanger's Journey,Documentary,2005
435517614-2,595693769-6,Madam Satan,Comedy|Musical|Romance,1998
650239910-X,126946231-8,Naked Souls,Sci-Fi|Thriller,1995
099554728-9,833719763-3,Pitfall (Otoshiana),Crime|Drama|Fantasy,2010
886598094-X,361455817-7,Won't Anybody Listen?,Documentary,1986
884667391-3,920316553-3,Rain Man,Drama,1994
518410196-9,796462438-5,Donnie Brasco,Crime|Drama,1992
692496095-2,423083453-5,Shaggy Dog. The,Children|Comedy,2001
815433531-X,529292058-4,Thing. The,Action|Horror|Sci-Fi|Thriller,2011
687004349-3,661130432-0,Dog Problem. The,Comedy,2000
779587934-9,605244474-6,Vertical Ray of the Sun. The (Mua he chieu thang dung),Drama,2009
288478609-0,470739886-3,Village People,Comedy,2004
